,fname,labels,mids
207,61287,"['Coin_(dropping)', 'Stream', 'Splash_and_splatter']","/m/0242l,/m/0j6m2,/m/07rrlb6"
208,334938,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
209,119441,['Coin_(dropping)'],/m/0242l
210,328125,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
211,325534,"['Coin_(dropping)', 'Glass']","/m/0242l,/m/039jq"
212,334939,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
213,213984,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
214,360908,['Coin_(dropping)'],/m/0242l
215,181904,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
217,213986,['Coin_(dropping)'],/m/0242l
218,369701,"['Coin_(dropping)', 'Dishes_and_pots_and_pans']","/m/0242l,/m/04brg2"
219,201895,"['Coin_(dropping)', 'Buzz']","/m/0242l,/m/07pjwq1"
220,73701,['Coin_(dropping)'],/m/0242l
221,369707,"['Coin_(dropping)', 'Dishes_and_pots_and_pans']","/m/0242l,/m/04brg2"
222,185310,['Coin_(dropping)'],/m/0242l
223,213980,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
224,199922,"['Coin_(dropping)', 'Glass']","/m/0242l,/m/039jq"
225,323164,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
226,124522,['Coin_(dropping)'],/m/0242l
227,213978,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
228,119831,['Coin_(dropping)'],/m/0242l
230,181905,['Coin_(dropping)'],/m/0242l
231,184372,['Coin_(dropping)'],/m/0242l
232,25458,"['Coin_(dropping)', 'Glass']","/m/0242l,/m/039jq"
233,154410,['Coin_(dropping)'],/m/0242l
234,52221,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
235,90397,['Coin_(dropping)'],/m/0242l
236,328146,"['Coin_(dropping)', 'Glass']","/m/0242l,/m/039jq"
237,108530,['Coin_(dropping)'],/m/0242l
238,186391,['Coin_(dropping)'],/m/0242l
240,346168,['Coin_(dropping)'],/m/0242l
241,330804,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
244,331134,['Coin_(dropping)'],/m/0242l
245,405426,['Coin_(dropping)'],/m/0242l
246,162192,['Coin_(dropping)'],/m/0242l
247,134921,['Coin_(dropping)'],/m/0242l
248,161543,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
249,402935,"['Coin_(dropping)', 'Glass']","/m/0242l,/m/039jq"
250,66322,['Coin_(dropping)'],/m/0242l
251,213987,['Coin_(dropping)'],/m/0242l
253,213983,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
255,344576,['Coin_(dropping)'],/m/0242l
256,254971,['Coin_(dropping)'],/m/0242l
257,361173,['Coin_(dropping)'],/m/0242l
258,213982,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
259,119832,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
260,153090,['Coin_(dropping)'],/m/0242l
261,233204,['Coin_(dropping)'],/m/0242l
262,75235,"['Coin_(dropping)', 'Bell', 'Cash_register']","/m/0242l,/m/0395lw,/m/024dl"
264,349690,['Coin_(dropping)'],/m/0242l
265,340921,['Coin_(dropping)'],/m/0242l
266,386452,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
267,403573,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
268,59593,"['Coin_(dropping)', 'Music']","/m/0242l,/m/04rlf"
269,213988,['Coin_(dropping)'],/m/0242l
271,213985,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
272,369702,"['Coin_(dropping)', 'Dishes_and_pots_and_pans']","/m/0242l,/m/04brg2"
273,432641,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
275,83465,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
276,118807,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
277,166441,"['Door', 'Toot', 'Car_passing_by', 'Toilet_flush']","/m/02dgv,/m/07qv_d5,/t/dd00134,/m/01jt3m"
278,196139,"['Vehicle_horn_and_car_horn_and_honking', 'Wind_noise_(microphone)']","/m/0912c9,/t/dd00092"
281,217138,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
282,209970,"['Train_horn', 'Toot']","/m/0284vy3,/m/07qv_d5"
283,423990,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
287,317533,"['Vehicle_horn_and_car_horn_and_honking', 'Engine', 'Traffic_noise_and_roadway_noise']","/m/0912c9,/m/02mk9,/m/0btp2"
289,180339,"['Vehicle_horn_and_car_horn_and_honking', 'Snoring']","/m/0912c9,/m/01d3sd"
290,342656,"['Vehicle_horn_and_car_horn_and_honking', 'Car_alarm', 'Idling']","/m/0912c9,/m/02mfyn,/m/07pb8fc"
291,94868,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
294,190647,"['Vehicle_horn_and_car_horn_and_honking', 'Car_alarm']","/m/0912c9,/m/02mfyn"
295,198844,"['Vehicle_horn_and_car_horn_and_honking', 'Car_alarm', 'Slam']","/m/0912c9,/m/02mfyn,/m/07rjzl8"
296,59587,"['Vehicle_horn_and_car_horn_and_honking', 'Idling', 'Motorcycle']","/m/0912c9,/m/07pb8fc,/m/04_sv"
298,327381,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
300,349922,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
301,17124,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
302,91366,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
303,87275,"['Vehicle_horn_and_car_horn_and_honking', 'Car_passing_by', 'Cricket', 'Accelerating_and_revving_and_vroom']","/m/0912c9,/t/dd00134,/m/09xqv,/m/07q2z82"
307,327417,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
308,371450,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
309,271110,['Toot'],/m/07qv_d5
310,144137,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
311,431396,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
313,362799,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
314,118577,"['Vehicle_horn_and_car_horn_and_honking', 'Bark', 'Chirp_and_tweet', 'Traffic_noise_and_roadway_noise']","/m/0912c9,/m/05tny_,/m/07pggtn,/m/0btp2"
315,118070,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
316,347964,"['Vehicle_horn_and_car_horn_and_honking', 'Wind_noise_(microphone)', 'Engine_starting', 'Traffic_noise_and_roadway_noise']","/m/0912c9,/t/dd00092,/t/dd00130,/m/0btp2"
317,118078,"['Tap', 'Toot', 'Keys_jangling']","/m/07qcpgn,/m/07qv_d5,/m/03v3yw"
318,54086,"['Vehicle_horn_and_car_horn_and_honking', 'Car_alarm']","/m/0912c9,/m/02mfyn"
319,210254,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
320,58202,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
321,170848,"['Steam', 'Toot', 'Wind_noise_(microphone)', 'Steam_whistle', 'Train_whistle']","/m/06wzb,/m/07qv_d5,/t/dd00092,/m/06hck5,/m/04zmvq"
322,235363,"['Vehicle_horn_and_car_horn_and_honking', 'Car_passing_by']","/m/0912c9,/t/dd00134"
323,380772,"['Vehicle_horn_and_car_horn_and_honking', 'Train', 'Traffic_noise_and_roadway_noise', 'Bus']","/m/0912c9,/m/07jdr,/m/0btp2,/m/01bjv"
325,176003,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
326,394655,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
327,340898,"['Vehicle_horn_and_car_horn_and_honking', 'Car_alarm', 'Chirp_and_tweet']","/m/0912c9,/m/02mfyn,/m/07pggtn"
328,340905,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
329,100265,"['Train_horn', 'Toot', 'Chirp_and_tweet']","/m/0284vy3,/m/07qv_d5,/m/07pggtn"
330,54187,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
331,179113,"['Train_horn', 'Toot']","/m/0284vy3,/m/07qv_d5"
332,235962,"['Vehicle_horn_and_car_horn_and_honking', 'Engine', 'Car_passing_by']","/m/0912c9,/m/02mk9,/t/dd00134"
334,136642,['Toot'],/m/07qv_d5
335,399828,"['Vehicle_horn_and_car_horn_and_honking', 'Traffic_noise_and_roadway_noise']","/m/0912c9,/m/0btp2"
336,393179,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
338,153057,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
339,276965,['Toot'],/m/07qv_d5
340,235506,['Vehicle_horn_and_car_horn_and_honking'],/m/0912c9
341,58368,['Ambulance_(siren)'],/m/012n7d
342,117120,['Fire_engine_and_fire_truck_(siren)'],/m/012ndj
343,117121,['Fire_engine_and_fire_truck_(siren)'],/m/012ndj
345,58371,['Fire_engine_and_fire_truck_(siren)'],/m/012ndj
346,58369,['Fire_engine_and_fire_truck_(siren)'],/m/012ndj
347,378257,"['Ambulance_(siren)', 'Traffic_noise_and_roadway_noise']","/m/012n7d,/m/0btp2"
348,238228,"['Wind_noise_(microphone)', 'Caw', 'Ambulance_(siren)', 'Police_car_(siren)', 'Car_passing_by', 'Tire_squeal', 'Traffic_noise_and_roadway_noise']","/t/dd00092,/m/07r5c2p,/m/012n7d,/m/04qvtq,/t/dd00134,/m/0h9mv,/m/0btp2"
349,70936,"['Ambulance_(siren)', 'Police_car_(siren)']","/m/012n7d,/m/04qvtq"
350,70938,['Police_car_(siren)'],/m/04qvtq
351,70939,"['Ambulance_(siren)', 'Police_car_(siren)']","/m/012n7d,/m/04qvtq"
353,58014,"['Ambulance_(siren)', 'Police_car_(siren)']","/m/012n7d,/m/04qvtq"
354,58015,"['Ambulance_(siren)', 'Car_alarm', 'Police_car_(siren)']","/m/012n7d,/m/02mfyn,/m/04qvtq"
355,431651,"['Ambulance_(siren)', 'Police_car_(siren)']","/m/012n7d,/m/04qvtq"
356,70052,"['Ambulance_(siren)', 'Police_car_(siren)']","/m/012n7d,/m/04qvtq"
357,348325,"['Bird_vocalization_and_bird_call_and_bird_song', 'Ambulance_(siren)', 'Bicycle_bell']","/m/020bb7,/m/012n7d,/m/0gy1t2s"
360,325680,"['Motor_vehicle_(road)', 'Accelerating_and_revving_and_vroom']","/m/012f08,/m/07q2z82"
361,392881,"['Emergency_vehicle', 'Siren', 'Car_alarm', 'Crackle']","/m/03j1ly,/m/03kmc9,/m/02mfyn,/m/07pzfmf"
362,242101,['Ambulance_(siren)'],/m/012n7d
363,348856,"['Motor_vehicle_(road)', 'Idling']","/m/012f08,/m/07pb8fc"
364,348857,"['Motor_vehicle_(road)', 'Idling']","/m/012f08,/m/07pb8fc"
365,117181,"['Air_horn_and_truck_horn', 'Wind_noise_(microphone)', 'Ambulance_(siren)', 'Police_car_(siren)', 'Fire_engine_and_fire_truck_(siren)']","/m/05x_td,/t/dd00092,/m/012n7d,/m/04qvtq,/m/012ndj"
366,52286,"['Motor_vehicle_(road)', 'Slam']","/m/012f08,/m/07rjzl8"
367,149193,"['Motor_vehicle_(road)', 'Idling']","/m/012f08,/m/07pb8fc"
368,123085,"['Sneeze', 'Ambulance_(siren)', 'Car_passing_by', 'Traffic_noise_and_roadway_noise']","/m/01hsr_,/m/012n7d,/t/dd00134,/m/0btp2"
371,133473,"['Ambulance_(siren)', 'Car', 'Keys_jangling', 'Police_car_(siren)', 'Traffic_noise_and_roadway_noise']","/m/012n7d,/m/0k4j,/m/03v3yw,/m/04qvtq,/m/0btp2"
372,188004,"['Car', 'Police_car_(siren)', 'Idling']","/m/0k4j,/m/04qvtq,/m/07pb8fc"
373,30823,"['Police_car_(siren)', 'Car_passing_by', 'Traffic_noise_and_roadway_noise']","/m/04qvtq,/t/dd00134,/m/0btp2"
374,405358,"['Tick', 'Police_car_(siren)', 'Car_passing_by']","/m/07qjznt,/m/04qvtq,/t/dd00134"
375,380664,"['Raindrop', 'Ambulance_(siren)', 'Police_car_(siren)', 'Traffic_noise_and_roadway_noise']","/m/07r10fb,/m/012n7d,/m/04qvtq,/m/0btp2"
376,353105,"['Glass', 'Dishes_and_pots_and_pans']","/m/039jq,/m/04brg2"
377,144175,"['Glass', 'Fill_(with_liquid)']","/m/039jq,/m/07p7b8y"
378,241880,"['Glass', 'Fill_(with_liquid)']","/m/039jq,/m/07p7b8y"
379,244245,"['Glass', 'Tap']","/m/039jq,/m/07qcpgn"
380,86047,"['Glass', 'Machine_gun']","/m/039jq,/m/04zjc"
381,344396,"['Glass', 'Tap']","/m/039jq,/m/07qcpgn"
382,94641,"['Glass', 'Dishes_and_pots_and_pans']","/m/039jq,/m/04brg2"
383,186692,"['Glass', 'Fill_(with_liquid)', 'Trickle_and_dribble']","/m/039jq,/m/07p7b8y,/m/07pqc89"
384,406849,['Glass'],/m/039jq
385,339080,['Glass'],/m/039jq
386,134747,"['Glass', 'Bell', 'Flute']","/m/039jq,/m/0395lw,/m/0l14j_"
388,277530,['Glass'],/m/039jq
389,365562,"['Glass', 'Cutlery_and_silverware', 'Chopping_(food)']","/m/039jq,/m/023pjk,/m/07pn_8q"
390,178398,"['Glass', 'Stir', 'Dishes_and_pots_and_pans', 'Microwave_oven']","/m/039jq,/m/07ptfmf,/m/04brg2,/m/0fx9l"
393,154466,"['Glass', 'Crushing']","/m/039jq,/m/07plct2"
394,198403,['Glass'],/m/039jq
395,187463,['Glass'],/m/039jq
396,339082,['Glass'],/m/039jq
397,31462,"['Glass', 'Wind_chime']","/m/039jq,/m/026fgl"
398,41461,"['Glass', 'Tap']","/m/039jq,/m/07qcpgn"
399,365964,['Glass'],/m/039jq
402,403578,"['Glass', 'Tap']","/m/039jq,/m/07qcpgn"
403,187468,['Glass'],/m/039jq
404,124287,"['Glass', 'Pour', 'Fill_(with_liquid)']","/m/039jq,/m/07prgkl,/m/07p7b8y"
405,146947,"['Water', 'Splash_and_splatter']","/m/0838f,/m/07rrlb6"
406,235525,"['Water', 'Splash_and_splatter']","/m/0838f,/m/07rrlb6"
407,110625,"['Stream', 'Waterfall']","/m/0j6m2,/m/0j2kx"
408,404010,"['Stream', 'Waterfall']","/m/0j6m2,/m/0j2kx"
409,223279,"['Wind_noise_(microphone)', 'Waterfall']","/t/dd00092,/m/0j2kx"
410,196145,"['Water', 'Pour']","/m/0838f,/m/07prgkl"
411,94290,"['Water', 'Splash_and_splatter', 'Light_engine_(high_frequency)']","/m/0838f,/m/07rrlb6,/t/dd00065"
413,2155,"['Water', 'Hiss']","/m/0838f,/m/07rjwbb"
414,15473,"['Water', 'Water_tap_and_faucet']","/m/0838f,/m/02jz0l"
415,352902,['Waterfall'],/m/0j2kx
